Wall time,Step,Value
1615313467.084135,2436108,249.46588134765625
1615313472.48122,2440801,-1031.0333251953125
1615313472.4820247,2440739,-1987.0499267578125
1615313477.9915009,2445360,-565.9335327148438
1615313477.991939,2445333,-1167.0999755859375
1615313483.071188,2449973,211.4805908203125
1615313492.0265334,2457611,-1125.4893798828125
1615313492.02761,2457678,244.45079040527344
1615313495.3408225,2460689,3.251174211502075
1615313519.5609133,2482182,156.25265502929688
1615313524.7615967,2486907,-145.09654235839844
1615313526.5930142,2488436,-826.9895629882812
1615313529.7823608,2491515,-429.28070068359375
1615313549.5435197,2508299,-48.58274841308594
1615313561.2456377,2519075,117.40245056152344
1615313570.6504023,2528301,-1223.8450927734375
1615313579.5446773,2535979,-879.0740966796875
1615313608.017528,2562065,119.09740447998047
1615313611.6171386,2565171,-62.6182746887207
1615313624.8094568,2577419,-611.0610961914062
1615313645.248956,2595966,279.91815185546875
1615313653.2820578,2603630,129.21969604492188
1615313672.9204538,2620482,-191.4352264404297
1615313674.711296,2622003,-1293.9874267578125
1615313681.7123053,2628108,67.65592956542969
1615313683.5741043,2629756,53.669952392578125
1615313685.250251,2631213,162.7571258544922
1615313691.979802,2637349,209.21559143066406
1615313700.8308575,2645000,174.53102111816406
1615313707.9224374,2651138,-1681.4639892578125
1615313720.1468322,2661981,142.32174682617188
1615313721.762773,2663450,-26.39177131652832
1615313723.491056,2664968,-292.29278564453125
1615313728.7092726,2669667,-1523.03759765625
1615313728.709879,2669649,167.53184509277344
1615313734.3831332,2674248,57.16587829589844
1615313744.580923,2683410,65.37804412841797
1615313751.7356284,2689547,114.99734497070312
1615313779.089495,2714147,117.924560546875
1615313789.7727056,2723363,-932.7062377929688
1615313795.0082138,2727989,164.81881713867188
1615313800.3479383,2732598,-946.0216674804688
1615313803.9190097,2735624,179.2310333251953
1615313805.7875874,2737212,120.86015319824219
1615313818.5499732,2747926,-1106.093505859375
1615313823.9960785,2752561,114.44239044189453
1615313825.6733944,2754168,127.54015350341797
1615313834.1452215,2761781,-32.767601013183594
1615313835.9255219,2763324,78.9759521484375
1615313841.1635501,2767982,-1215.43896484375
1615313855.481897,2780208,153.84230041503906
1615313857.2672443,2781776,-1127.5078125
1615313881.2090895,2803245,-1332.252197265625
1615313882.963027,2804779,133.55279541015625
1615313894.7489355,2815492,-592.2191772460938
1615313917.0575979,2835480,-25.658939361572266
1615313930.5883749,2847787,-1715.8135986328125
1615313934.0085013,2850883,50.88174057006836
1615313937.4511137,2853962,-190.7046661376953
1615313944.7470334,2860151,-942.0338134765625
1615313987.924314,2898496,157.72119140625
1615313989.446033,2900089,24.17368507385254
1615314001.6279738,2910784,-513.3536376953125
1615314005.1316748,2913846,-1477.9752197265625
1615314029.145365,2935364,-875.7841186523438
1615314032.5382924,2938423,147.45297241210938
1615314049.1198306,2952233,188.4495391845703
1615314050.9329512,2953844,208.62388610839844
1615314052.7844768,2955381,-2216.749755859375
1615314054.7026193,2956921,-1610.234375
1615314063.818608,2964574,-219.96734619140625
1615314065.6173768,2966081,220.43617248535156
1615314067.1973162,2967603,52.58686447143555
1615314102.8001456,2998376,-858.0648193359375
1615314104.2271633,2999907,-1611.6339111328125
1615314114.2591856,3009058,157.60560607910156
1615314114.2602632,3009069,-1542.6717529296875
1615314116.0519567,3010617,-446.2287292480469
1615314134.9807348,3027570,-793.5730590820312
1615314143.4169588,3035137,-727.2057495117188
1615314146.9000008,3038293,-152.5982208251953
1615314157.2345612,3047510,-1098.591796875
1615314158.9225318,3049030,-1233.834228515625
1615314163.609118,3053570,95.86351776123047
1615314177.9909804,3065948,-11.227478981018066
1615314179.828712,3067494,-1941.797119140625
1615314181.5786493,3069015,147.1126708984375
1615314212.8685544,3096667,-247.4669189453125
1615314221.2039883,3104347,-1394.2269287109375
1615314221.2047997,3104274,-433.251708984375
1615314229.8385248,3111939,189.674072265625
1615314235.2172236,3116561,-1163.231689453125
1615314245.834477,3125805,-1281.8555908203125
1615314249.4613473,3128901,186.05294799804688
1615314254.550454,3133450,-29.31717300415039
1615314256.1203704,3135097,121.67192840576172
1615314256.1213953,3135087,-1003.0097045898438
1615314264.7231066,3142710,-1998.2547607421875
1615314266.5834537,3144248,-1476.012939453125
1615314274.8202376,3151986,137.30609130859375
1615314281.9723518,3158061,113.44635772705078
1615314287.0985956,3162629,6.557673931121826
1615314290.5530505,3165754,-86.90848541259766
1615314294.0064592,3168861,-653.1041870117188
1615314313.7623405,3185686,177.5131378173828
1615314317.3567743,3188750,24.374149322509766
1615314326.2611997,3196539,-411.42315673828125
1615314351.5718055,3219504,66.78680419921875
1615314376.8912988,3241010,98.74972534179688
1615314378.7577047,3242579,120.76911163330078
1615314387.2069883,3250226,169.23309326171875
1615314403.1854985,3264062,-48.914058685302734
1615314406.6707625,3267086,220.8978271484375
1615314419.81092,3279436,-1517.173828125
1615314427.0893834,3285506,228.79270935058594
1615314440.8929656,3297857,-178.90084838867188
1615314440.8936024,3297881,119.01443481445312
1615314447.800058,3303980,-941.0196533203125
1615314449.572905,3305576,303.9956359863281
1615314456.5153782,3311616,120.72808837890625
1615314480.1752753,3331665,-190.0004119873047
1615314484.0722735,3334739,-922.8905639648438
1615314487.571365,3337733,-1592.6346435546875
1615314489.2710233,3339373,201.839599609375
1615314496.4609244,3345476,119.31233215332031
1615314507.401194,3354735,-1546.1282958984375
1615314514.313883,3360825,-181.904052734375
1615314517.7877119,3363903,227.66268920898438
1615314523.1276178,3368545,-1057.88916015625
